iteration,tested_polymer,tested_score,best_polymer,best_score
1,nylon66,0.0,PS,0.9999999999875
2,EVOH,0.249999999996875,PS,0.9999999999875
3,PET,0.0,PS,0.9999999999875
4,PVC,0.749999999990625,PS,0.9999999999875
5,PP-LMW,0.0,PS,0.9999999999875
6,LDPE,0.0,PS,0.9999999999875
7,HDPE,0.0,PS,0.9999999999875
