Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,x,delta_mu
propanone,403.15,-14.71611476,-14.97029132,710.52,58.0795,SLE,-0.64132353,0.7610330559,0.05520464,0.22838968,-0.25417655999999944
propanone,398.15,-14.95115832,-15.22610029,714.36,58.0795,SLE,-0.67506691,0.7424552134,0.04337039,0.21131635,-0.2749419700000004
propanone,393.15,-15.18811761,-15.48429148,718.24,58.0795,SLE,-0.70941106,0.7230258995,0.03063729,0.19524906,-0.29617386999999873
propanone,388.15,-15.42696862,-15.74484357,722.16,58.0795,SLE,-0.74437779,0.7027468353,0.01695466,0.180145,-0.3178749500000002
propanone,383.15,-15.66768595,-16.00770956,726.1,58.0795,SLE,-0.78000388,0.6816192458,0.00226367,0.16595721,-0.34002360999999937
propanone,378.15,-15.91024291,-16.27287189,730.09,58.0795,SLE,-0.81631033,0.6596629166,-0.01348838,0.15264749,-0.362628980000002
propanone,373.15,-16.15461156,-16.54032366,734.11,58.0795,SLE,-0.85331231,0.6369120652,-0.03035132,0.14018053,-0.3857120999999992
propanone,368.15,-16.40076282,-16.81004029,738.17,58.0795,SLE,-0.89103562,0.6134061926,-0.04838013,0.12851812,-0.40927746999999925
propanone,363.15,-16.64866657,-17.082036,742.26,58.0795,SLE,-0.92948356,0.5892113875,-0.06761674,0.11762955,-0.43336942999999906
propanone,358.15,-16.89829177,-17.35630898,746.39,58.0795,SLE,-0.96866878,0.5644010238,-0.08810603,0.10748088,-0.4580172100000013
propanone,353.15,-17.14960654,-17.63286201,750.56,58.0795,SLE,-1.00860136,0.5390630845,-0.10988901,0.09803895,-0.4832554699999996
propanone,348.15,-17.40257834,-17.91171352,754.77,58.0795,SLE,-1.04928174,0.5133041372,-0.13299765,0.08927262,-0.5091351799999977
propanone,343.15,-17.65717409,-18.19285674,759.01,58.0795,SLE,-1.09072608,0.4872322147,-0.15747003,0.08114727,-0.5356826499999983
propanone,338.15,-17.91336033,-18.47629089,763.3,58.0795,SLE,-1.13294739,0.4609674139,-0.18333894,0.07362963,-0.5629305600000016
propanone,333.15,-18.17110338,-18.76201951,767.62,58.0795,SLE,-1.17595654,0.4346393992,-0.21063192,0.06668735,-0.5909161299999965
propanone,328.15,-18.43036953,-19.05000547,771.99,58.0795,SLE,-1.21979212,0.4083673498,-0.23939223,0.06028481,-0.6196359399999984
propanone,323.15,-18.69112519,-19.34023031,776.39,58.0795,SLE,-1.26448261,0.3822813968,-0.26965359,0.05438979,-0.649105119999998
propanone,318.15,-18.95333714,-19.63264163,780.84,58.0795,SLE,-1.31008185,0.3564997782,-0.30146579,0.04896865,-0.6793044899999998
propanone,313.15,-19.21697271,-19.92718545,785.33,58.0795,SLE,-1.35664864,0.3311398136,-0.33488116,0.04398974,-0.7102127399999993
propanone,308.15,-19.48199998,-20.22378221,789.86,58.0795,SLE,-1.4042643,0.306307282,-0.36996872,0.03942173,-0.7417822299999983
propanone,303.15,-19.74838803,-20.52234741,794.43,58.0795,SLE,-1.45301985,0.2821032383,-0.40680545,0.03523548,-0.7739593799999973
propanone,298.15,-20.01610718,-20.82277971,799.05,58.0795,SLE,-1.50302564,0.2586188309,-0.44548479,0.03140323,-0.8066725300000002
acetylacetone,403.15,-14.71611476,-14.63701618,867.41,100.1163,SLE,-0.82191188,0.5254947455,-0.09863915,0.15069128,0.07909858000000014
acetylacetone,398.15,-14.95115832,-14.8460195,871.9,100.1163,SLE,-0.88360369,0.4842035332,-0.13513105,0.13073634,0.10513881999999874
acetylacetone,393.15,-15.18811761,-15.05483313,876.41,100.1163,SLE,-0.94803623,0.4422357441,-0.17547669,0.11271034,0.13328448000000037
acetylacetone,388.15,-15.42696862,-15.2643989,880.96,100.1163,SLE,-1.01477192,0.400426096,-0.21953601,0.09665584,0.16256972000000047
acetylacetone,383.15,-15.66768595,-15.47576422,885.53,100.1163,SLE,-1.08328938,0.3596339823,-0.2670185,0.08254877,0.1919217299999989
acetylacetone,378.15,-15.91024291,-15.68989019,890.12,100.1163,SLE,-1.15308878,0.3206159931,-0.31755426,0.07029286,0.22035271999999928
acetylacetone,373.15,-16.15461156,-15.90755684,894.75,100.1163,SLE,-1.22374877,0.2839540554,-0.37075177,0.05973808,0.2470547199999995
acetylacetone,368.15,-16.40076282,-16.1292826,899.4,100.1163,SLE,-1.29497968,0.2500188066,-0.42626496,0.05070144,0.2714802200000008
acetylacetone,363.15,-16.64866657,-16.35535328,904.08,100.1163,SLE,-1.36661521,0.2189924466,-0.48381486,0.04299172,0.2933132900000004
acetylacetone,358.15,-16.89829177,-16.5858553,908.78,100.1163,SLE,-1.43860081,0.1909052397,-0.54320316,0.03642497,0.3124364700000015
acetylacetone,353.15,-17.14960654,-16.82073908,913.51,100.1163,SLE,-1.5109625,0.1656822125,-0.60430205,0.03083454,0.32886746000000144
acetylacetone,348.15,-17.40257834,-17.05986947,918.27,100.1163,SLE,-1.58378107,0.1431815015,-0.66704139,0.02607468,0.3427088700000027
acetylacetone,343.15,-17.65717409,-17.30306181,923.06,100.1163,SLE,-1.65717322,0.1232228002,-0.7313968,0.02202048,0.3541122800000025
acetylacetone,338.15,-17.91336033,-17.55011656,927.87,100.1163,SLE,-1.73127194,0.1056086626,-0.79737358,0.01856642,0.3632437700000004
acetylacetone,333.15,-18.17110338,-17.80083314,932.71,100.1163,SLE,-1.80621874,0.0901365821,-0.86499933,0.01562361,0.37027024
acetylacetone,328.15,-18.43036953,-18.05502232,937.58,100.1163,SLE,-1.88215623,0.076607189,-0.93431599,0.01311728,0.37534721000000104
acetylacetone,323.15,-18.69112519,-18.312513,942.47,100.1163,SLE,-1.9592237,0.0648289555,-1.00537428,0.0109844,0.3786121900000019
acetylacetone,318.15,-18.95333714,-18.5731549,947.4,100.1163,SLE,-2.03755516,0.0546207028,-1.07823037,0.00917159,0.3801822399999999
acetylacetone,313.15,-19.21697271,-18.83681995,952.35,100.1163,SLE,-2.11727813,0.0458129334,-1.15294328,0.00763347,0.3801527600000014
acetylacetone,308.15,-19.48199998,-19.10340184,957.33,100.1163,SLE,-2.19851351,0.03824834,-1.22957365,0.00633121,0.37859814000000114
acetylacetone,303.15,-19.74838803,-19.37281501,962.33,100.1163,SLE,-2.28137602,0.0317819065,-1.30818304,0.00523147,0.3755730200000009
acetylacetone,298.15,-20.01610718,-19.64499345,967.37,100.1163,SLE,-2.36597467,0.0262807526,-1.3888336,0.00430552,0.3711137299999976
benzene,403.15,-14.71611476,-15.00552304,775.84,78.1124,SLE,-0.62223288,0.7149124165,0.03354899,0.23865312,-0.28940827999999996
benzene,398.15,-14.95115832,-15.26493994,779.96,78.1124,SLE,-0.65375697,0.6953108645,0.02108641,0.2219438,-0.3137816200000003
benzene,393.15,-15.18811761,-15.52681989,784.12,78.1124,SLE,-0.68578048,0.6750808351,0.00781412,0.20616717,-0.3387022799999997
benzene,388.15,-15.42696862,-15.79105018,788.3,78.1124,SLE,-0.71837272,0.654212259,-0.00633139,0.19126138,-0.3640815599999989
benzene,383.15,-15.66768595,-16.05753339,792.52,78.1124,SLE,-0.75159712,0.632704592,-0.02141462,0.17717518,-0.3898474400000005
benzene,378.15,-15.91024291,-16.32615739,796.78,78.1124,SLE,-0.78552822,0.6105571223,-0.03750969,0.16385956,-0.41591447999999964
benzene,373.15,-16.15461156,-16.59680776,801.06,78.1124,SLE,-0.8202452,0.5877743317,-0.05469766,0.15127069,-0.4421962000000015
benzene,368.15,-16.40076282,-16.86936742,805.38,78.1124,SLE,-0.85583244,0.5643669711,-0.07306712,0.13936944,-0.46860459999999904
benzene,363.15,-16.64866657,-17.1436957,809.74,78.1124,SLE,-0.89239253,0.5403451142,-0.09272242,0.12811721,-0.49502912999999893
benzene,358.15,-16.89829177,-17.41964943,814.13,78.1124,SLE,-0.93003478,0.515727696,-0.11377793,0.11748035,-0.5213576599999996
benzene,353.15,-17.14960654,-17.69708544,818.55,78.1124,SLE,-0.96887418,0.4905453006,-0.13635773,0.10743006,-0.547478899999998
benzene,348.15,-17.40257834,-17.97584483,823.01,78.1124,SLE,-1.00904182,0.4648358126,-0.16060266,0.09793957,-0.5732664899999982
benzene,343.15,-17.65717409,-18.25575449,827.51,78.1124,SLE,-1.0506851,0.4386470313,-0.18667155,0.08898461,-0.5985803999999995
benzene,338.15,-17.91336033,-18.53662265,832.04,78.1124,SLE,-1.09397203,0.4120371815,-0.21474511,0.08054303,-0.623262320000002
benzene,333.15,-18.17110338,-18.81825769,836.61,78.1124,SLE,-1.13908045,0.3850847794,-0.24501927,0.07259715,-0.6471543099999977
benzene,328.15,-18.43036953,-19.10044556,841.21,78.1124,SLE,-1.18621396,0.3578820747,-0.27771696,0.06513074,-0.6700760300000006
benzene,323.15,-18.69112519,-19.38297575,845.86,78.1124,SLE,-1.23558652,0.3305470962,-0.31307736,0.05813176,-0.6918505599999989
benzene,318.15,-18.95333714,-19.66560551,850.54,78.1124,SLE,-1.28744792,0.3032117497,-0.3513753,0.0515884,-0.7122683700000003
benzene,313.15,-19.21697271,-19.94808966,855.26,78.1124,SLE,-1.34206604,0.2760339602,-0.39290826,0.04549189,-0.7311169500000005
benzene,308.15,-19.48199998,-20.23017849,860.01,78.1124,SLE,-1.39972991,0.24919597,-0.43799805,0.03983548,-0.7481785099999989
benzene,303.15,-19.74838803,-20.51162408,864.81,78.1124,SLE,-1.4607471,0.2229034971,-0.48698755,0.03461409,-0.7632360499999997
benzene,298.15,-20.01610718,-20.79216945,869.64,78.1124,SLE,-1.52545339,0.1973771957,-0.54024737,0.02982268,-0.7760622700000006
chcl3,403.15,-14.71611476,-14.97110652,1335.87,119.3783,SLE,-0.6408818,0.608064623,0.04287948,0.22862209,-0.25499175999999935
