Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,delta_mu
propanone,383.15,-15.66768595,-16.22958907,726.1,58.0795,REF,-1.03085481,0.5249583202,-0.13722609,-0.5619031200000002
propanone,378.15,-15.91024291,-16.50477715,730.09,58.0795,REF,-1.07708181,0.4957894542,-0.1644756,-0.5945342399999998
propanone,373.15,-16.15461156,-16.78215409,734.11,58.0795,REF,-1.12432674,0.4663001257,-0.19351169,-0.6275425299999995
propanone,368.15,-16.40076282,-17.06166009,738.17,58.0795,REF,-1.17264932,0.4366459678,-0.22440872,-0.6608972699999995
propanone,363.15,-16.64866657,-17.34322255,742.26,58.0795,REF,-1.22211962,0.4069904286,-0.25724583,-0.6945559800000005
propanone,358.15,-16.89829177,-17.62675319,746.39,58.0795,REF,-1.27282063,0.3775011428,-0.29210938,-0.7284614199999986
propanone,353.15,-17.14960654,-17.91214569,750.56,58.0795,REF,-1.3248507,0.348346486,-0.3290956,-0.7625391499999985
propanone,348.15,-17.40257834,-18.19928138,754.77,58.0795,REF,-1.37832116,0.3196948379,-0.36830969,-0.796703039999997
propanone,343.15,-17.65717409,-18.48799809,759.01,58.0795,REF,-1.43337718,0.2917019218,-0.40988326,-0.8308239999999998
propanone,338.15,-17.91336033,-18.77813535,763.3,58.0795,REF,-1.49017119,0.2645238472,-0.4539548,-0.8647750199999997
propanone,333.15,-18.17110338,-19.06952928,767.62,58.0795,REF,-1.54886684,0.2383121637,-0.50067273,-0.8984258999999994
propanone,328.15,-18.43036953,-19.36195088,771.99,58.0795,REF,-1.60968114,0.2131941991,-0.55023161,-0.9315813499999983
propanone,323.15,-18.69112519,-19.65521536,776.39,58.0795,REF,-1.67281467,0.1893023303,-0.60281411,-0.9640901699999986
propanone,318.15,-18.95333714,-19.94909457,780.84,58.0795,REF,-1.73851068,0.1667465916,-0.65864106,-0.9957574300000012
propanone,313.15,-19.21697271,-20.2433588,785.33,58.0795,REF,-1.80702944,0.1456239562,-0.71794994,-1.026386089999999
propanone,308.15,-19.48199998,-20.53780073,789.86,58.0795,REF,-1.87863274,0.1260194954,-0.78098023,-1.0558007499999995
propanone,303.15,-19.74838803,-20.83222694,794.43,58.0795,REF,-1.95359036,0.1079995178,-0.84797807,-1.0838389100000008
propanone,298.15,-20.01610718,-21.126451,799.05,58.0795,REF,-2.03218594,0.0916066148,-0.91920108,-1.1103438200000006
acetylacetone,403.15,-14.71611476,-14.54685125,867.41,100.1163,REF,-1.18301828,0.3047287554,-0.35183286,0.1692635100000004
acetylacetone,398.15,-14.95115832,-14.75520553,871.9,100.1163,REF,-1.26139519,0.2656360768,-0.41210843,0.19595278999999977
acetylacetone,393.15,-15.18811761,-14.96730821,876.41,100.1163,REF,-1.34074691,0.2298386107,-0.47535601,0.22080940000000027
acetylacetone,388.15,-15.42696862,-15.18346249,880.96,100.1163,REF,-1.42092688,0.1975192557,-0.54127933,0.2435061300000001
acetylacetone,383.15,-15.66768595,-15.40376538,885.53,100.1163,REF,-1.5018977,0.1686817272,-0.60966144,0.2639205699999998
acetylacetone,378.15,-15.91024291,-15.62816583,890.12,100.1163,REF,-1.58370483,0.1432036171,-0.68036037,0.28207707999999876
acetylacetone,373.15,-16.15461156,-15.85652552,894.75,100.1163,REF,-1.66644652,0.1208838417,-0.75329333,0.2980860399999994
acetylacetone,368.15,-16.40076282,-16.08866234,899.4,100.1163,REF,-1.75025171,0.1014775437,-0.82842183,0.31210048000000157
acetylacetone,363.15,-16.64866657,-16.32437871,904.08,100.1163,REF,-1.83526509,0.0847201525,-0.90573961,0.3242878599999983
acetylacetone,358.15,-16.89829177,-16.56348257,908.78,100.1163,REF,-1.92163551,0.0703436473,-0.98526149,0.3348091999999987
acetylacetone,353.15,-17.14960654,-16.80579753,913.51,100.1163,REF,-2.00951007,0.0580865446,-1.06701649,0.3438090100000011
acetylacetone,348.15,-17.40257834,-17.05116856,918.27,100.1163,REF,-2.09903044,0.0477001097,-1.1510428,0.3514097800000009
acetylacetone,343.15,-17.65717409,-17.29946385,923.06,100.1163,REF,-2.19033145,0.0389519705,-1.23738478,0.35771024000000295
