iteration,tested_polymer,tested_score,best_polymer,best_score
1,nylon66,0.047346606744415536,nylon66,0.047346606744415536
2,EVOH,0.2867590935256847,EVOH,0.2867590935256847
3,PET,0.02886397383053811,EVOH,0.2867590935256847
4,PC,0.38207397494279727,PC,0.38207397494279727
5,PVC,0.9150206375310016,PVC,0.9150206375310016
6,PS,0.9999999997344747,PS,0.9999999997344747
7,PP-LMW,0.5290849589297543,PS,0.9999999997344747
8,LDPE,0.04230395469408381,PS,0.9999999997344747
