Test_Polymer,Train_Polymers,N_train,N_test,MAE_correction,RMSE_correction,R2_correction,MAE_original,MAE_corrected,Improvement,Improvement_pct
pc,"ps, evoh",1490,536,4.314511864646547,4.32558326552365,-299.3537124729172,0.41710491089552243,4.314511864646547,-3.8974069537510245,-934.3948853019516
ps,"pc, evoh",1435,591,1.0791048318117338,1.143352816518398,-61.95020533830792,0.47068456069373943,1.0791048318117338,-0.6084202711179943,-129.2628486095331
evoh,"pc, ps",1127,899,1.4485945452604083,1.611057379791271,-2.5492163655859486,1.924260293147942,1.4485945452604083,0.4756657478875337,24.719407742358023
