Polymer,N_points,MAE_correction,RMSE_correction,R2_correction,MAE_original,MAE_corrected,Improvement,Improvement_pct
pc,536,0.21775909841464489,0.2316769248085877,0.13839301457348985,0.41710491089552243,0.2177590984146449,0.19934581248087752,47.79272726683628
ps,591,0.7468845224067939,0.7959339264637548,-29.506378388269056,0.47068456069373943,0.7468845224067939,-0.2761999617130545,-58.68048046997014
evoh,899,0.5432760601267077,0.7231689834518362,0.2848616958297525,1.924260293147942,0.5432760601267077,1.3809842330212343,71.76701810762047
