Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
Random Forest,0.4368856513794812,0.13611029502960828,0.7118470060692677,0.15632474520277062,-2.9955126276360655,4.900646378339072
Gradient Boosting,0.5611513483254584,0.14013327158405403,0.7746245540941468,0.18238387861469546,-3.7701981722730773,6.123358827536412
Ridge,0.7254334741814406,0.1113626603827501,0.8342789398362562,0.1408346305405531,-5.174945503208731,6.4106796080835835
ElasticNet,0.7661077823296383,0.18289577350647868,0.8657177254704228,0.24223262440683307,-4.222068718842687,5.612787266695589
Lasso,0.8860736892643482,0.1906541694827355,0.977308703933678,0.2454324156923026,-5.913656539018041,6.408718085094723
