Polymer,N_points,MAE_correction,RMSE_correction,R2_correction,MAE_original,MAE_corrected,Improvement,Improvement_pct
pc,536,0.06338662641547098,0.0870350717857378,0.8784003751058677,0.41710491089552243,0.06338662641547099,0.35371828448005144,84.80319345092818
ps,591,0.2334554650272232,0.27903653739417883,-2.749374033480542,0.47068456069373943,0.23345546502722325,0.23722909566651618,50.40086620153112
evoh,899,0.42855061439551156,0.6181177702031029,0.47754015569661756,1.924260293147942,0.42855061439551156,1.4957096787524304,77.72907252093033
