iteration,tested_polymer,tested_score,best_polymer,best_score
1,nylon66,0.0,EVOH,0.7387904630264617
2,PC,0.411407682080827,EVOH,0.7387904630264617
3,PVC,0.666748259945736,EVOH,0.7387904630264617
4,HDPE,0.9999999999519293,HDPE,0.9999999999519293
5,PP-LMW,0.7028437371635807,HDPE,0.9999999999519293
6,PS,0.7826171555593494,HDPE,0.9999999999519293
7,LDPE,0.9999999999519293,HDPE,0.9999999999519293
