iteration,tested_polymer,tested_score,best_polymer,best_score
1,PC,0.0,PET,0.0
2,PS,0.0,PET,0.0
3,PVC,0.0,PET,0.0
4,EVOH,0.9999999999,EVOH,0.9999999999
5,PP-LMW,0.0,EVOH,0.9999999999
6,LDPE,0.0,EVOH,0.9999999999
7,HDPE,0.0,EVOH,0.9999999999
