iteration,tested_polymer,tested_score,best_polymer,best_score
1,nylon66,0.047346606744415536,PVC,0.9150206375310016
2,EVOH,0.2867590935256847,PVC,0.9150206375310016
3,PC,0.38207397494279727,PVC,0.9150206375310016
4,PS,0.9999999997344747,PS,0.9999999997344747
5,PP-LMW,0.5290849589297543,PS,0.9999999997344747
