Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,x,delta_mu
2-propanol,298.15,-29.48560345,-26.15467973,779.23,60.0953,SLE,-6.28457836,8.789271e-06,-5.17175292,5.2e-07,3.3309237199999977
propanone,403.15,-22.12730948,-23.6855994,710.52,58.0795,SLE,-1.23026801,0.5226795047,-0.33219797,0.05884804,-1.55828992
propanone,398.15,-22.45099291,-24.0534815,714.36,58.0795,SLE,-1.25850785,0.505456519,-0.34843757,0.05514322,-1.60248859
propanone,393.15,-22.77754467,-24.42443689,718.24,58.0795,SLE,-1.28735221,0.4879191255,-0.36548516,0.05159977,-1.646892219999998
propanone,388.15,-23.10693885,-24.79841555,722.16,58.0795,SLE,-1.31683805,0.4700878883,-0.38338258,0.04821275,-1.6914767000000026
propanone,383.15,-23.4391479,-25.17536061,726.1,58.0795,SLE,-1.34700719,0.4519853763,-0.40217599,0.04497724,-1.7362127100000002
propanone,378.15,-23.77414272,-25.55522654,730.09,58.0795,SLE,-1.37789623,0.4336425422,-0.42190881,0.04188936,-1.7810838199999992
propanone,373.15,-24.11189277,-25.93795209,734.11,58.0795,SLE,-1.4095521,0.4150896809,-0.44263261,0.03894466,-1.8260593199999988
propanone,368.15,-24.45236622,-26.32348068,738.17,58.0795,SLE,-1.44202073,0.3963634828,-0.46439919,0.03613926,-1.8711144600000011
propanone,363.15,-24.79553009,-26.71174587,742.26,58.0795,SLE,-1.47535583,0.3775021552,-0.48726699,0.03346911,-1.9162157800000017
propanone,358.15,-25.14135041,-27.1026657,746.39,58.0795,SLE,-1.50962295,0.3585436637,-0.51130464,0.0309298,-1.9613152899999982
propanone,353.15,-25.4897924,-27.49616343,750.56,58.0795,SLE,-1.54488768,0.339532815,-0.53658211,0.02851756,-2.0063710300000004
propanone,348.15,-25.84082069,-27.89216956,754.77,58.0795,SLE,-1.58121439,0.3205217892,-0.56316958,0.02622923,-2.051348869999998
propanone,343.15,-26.1943995,-28.29058788,759.01,58.0795,SLE,-1.61868799,0.3015589395,-0.59115469,0.02406091,-2.096188380000001
propanone,338.15,-26.55049287,-28.69132343,763.3,58.0795,SLE,-1.65739749,0.2826980738,-0.62062999,0.02200911,-2.1408305600000013
propanone,333.15,-26.90906493,-29.09426993,767.62,58.0795,SLE,-1.69744469,0.2639943863,-0.65170015,0.02007037,-2.185205
propanone,328.15,-27.27008015,-29.49930929,771.99,58.0795,SLE,-1.73894574,0.2455044235,-0.68448361,0.01824124,-2.229229140000001
propanone,323.15,-27.63350359,-29.90633583,776.39,58.0795,SLE,-1.78201593,0.2272930126,-0.71909986,0.01651901,-2.2728322399999996
propanone,318.15,-27.99930125,-30.3152056,780.84,58.0795,SLE,-1.82680477,0.2094184226,-0.75569956,0.01490031,-2.3159043500000003
propanone,313.15,-28.36744033,-30.72578154,785.33,58.0795,SLE,-1.87346731,0.1919453847,-0.79444045,0.01338236,-2.358341209999999
propanone,308.15,-28.73788959,-31.13793289,789.86,58.0795,SLE,-1.92216534,0.1749436374,-0.835488,0.01196285,-2.4000432999999965
propanone,303.15,-29.11061966,-31.55148503,794.43,58.0795,SLE,-1.97310425,0.1584750968,-0.87904854,0.01063888,-2.4408653699999974
propanone,298.15,-29.48560345,-31.9662863,799.05,58.0795,SLE,-2.02648807,0.1426096717,-0.92532924,0.00940832,-2.480682850000001
acetylacetone,403.15,-22.12730948,-22.71350778,867.41,100.1163,SLE,-1.75700523,0.1532162022,-0.86464125,0.01749826,-0.5861982999999995
acetylacetone,398.15,-22.45099291,-23.03009662,871.9,100.1163,SLE,-1.82000266,0.1350467708,-0.91956378,0.01513552,-0.5791037099999983
acetylacetone,393.15,-22.77754467,-23.34887044,876.41,100.1163,SLE,-1.88498228,0.1182811586,-0.97703786,0.0130322,-0.5713257699999978
acetylacetone,388.15,-23.10693885,-23.66988947,880.96,100.1163,SLE,-1.95197223,0.102942954,-1.03706584,0.01116935,-0.5629506200000023
acetylacetone,383.15,-23.4391479,-23.99321841,885.53,100.1163,SLE,-2.0209986,0.0890295522,-1.0996442,0.00952799,-0.5540705100000025
