Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,delta_mu
propanone,383.15,-23.4391479,-25.38703421,726.1,58.0795,REF,-1.45007867,0.391768689,-0.47724684,-1.9478863100000012
propanone,378.15,-23.77414272,-25.79262952,730.09,58.0795,REF,-1.4967391,0.3656178233,-0.5104896,-2.018486799999998
propanone,373.15,-24.11189277,-26.20024513,734.11,58.0795,REF,-1.54508041,0.3394303877,-0.5459246,-2.0883523599999982
propanone,368.15,-24.45236622,-26.60964259,738.17,58.0795,REF,-1.59529374,0.3133179991,-0.58374439,-2.1572763700000017
propanone,363.15,-24.79553009,-27.02053003,742.26,58.0795,REF,-1.64761222,0.2873943145,-0.62418094,-2.22499994
propanone,358.15,-25.14135041,-27.43259814,746.39,58.0795,REF,-1.70229203,0.2617875006,-0.66749169,-2.2912477299999985
propanone,353.15,-25.4897924,-27.84549273,750.56,58.0795,REF,-1.75963113,0.2366330565,-0.71397575,-2.3557003300000012
propanone,348.15,-25.84082069,-28.25890458,754.77,58.0795,REF,-1.819916,0.2120970894,-0.76392832,-2.4180838899999983
propanone,343.15,-26.1943995,-28.67237345,759.01,58.0795,REF,-1.88354574,0.1883241606,-0.81774786,-2.477973949999999
propanone,338.15,-26.55049287,-29.08549017,763.3,58.0795,REF,-1.95090994,0.1654878041,-0.87583106,-2.5349973000000006
propanone,333.15,-26.90906493,-29.49775979,767.62,58.0795,REF,-2.02247787,0.143753287,-0.93865065,-2.5886948600000004
propanone,328.15,-27.27008015,-29.90875194,771.99,58.0795,REF,-2.09870467,0.1233025615,-1.00666972,-2.63867179
propanone,323.15,-27.63350359,-30.3179895,776.39,58.0795,REF,-2.18010564,0.104300848,-1.08040706,-2.6844859099999994
propanone,318.15,-27.99930125,-30.72504172,780.84,58.0795,REF,-2.26719727,0.086901501,-1.16038082,-2.7257404700000016
propanone,313.15,-28.36744033,-31.12955827,785.33,58.0795,REF,-2.36047372,0.0712334269,-1.24708267,-2.7621179399999995
propanone,308.15,-28.73788959,-31.53129149,789.86,58.0795,REF,-2.46038958,0.0573858287,-1.34095763,-2.793401899999999
propanone,303.15,-29.11061966,-31.9301648,794.43,58.0795,REF,-2.56730738,0.0453989155,-1.4423505,-2.819545139999999
propanone,298.15,-29.48560345,-32.32626004,799.05,58.0795,REF,-2.68149954,0.0352511319,-1.55150522,-2.840656590000002
acetylacetone,403.15,-22.12730948,-22.73497572,867.41,100.1163,REF,-1.84844865,0.1274687249,-0.94783,-0.6076662400000004
acetylacetone,398.15,-22.45099291,-23.05482724,871.9,100.1163,REF,-1.93862412,0.1058494191,-1.02906112,-0.6038343300000015
acetylacetone,393.15,-22.77754467,-23.37584905,876.41,100.1163,REF,-2.03203716,0.0869703816,-1.11452555,-0.5983043799999983
acetylacetone,388.15,-23.10693885,-23.69816447,880.96,100.1163,REF,-2.12872887,0.0707180546,-1.20416636,-0.5912256199999995
acetylacetone,383.15,-23.4391479,-24.02192978,885.53,100.1163,REF,-2.22872276,0.0569205,-1.29790725,-0.5827818800000024
acetylacetone,378.15,-23.77414272,-24.34732226,890.12,100.1163,REF,-2.33203053,0.045363326,-1.39566114,-0.5731795399999982
acetylacetone,373.15,-24.11189277,-24.67454254,894.75,100.1163,REF,-2.43865,0.0358071088,-1.4973309,-0.5626497700000002
acetylacetone,368.15,-24.45236622,-25.00379861,899.4,100.1163,REF,-2.54857376,0.0280021908,-1.60281993,-0.5514323900000022
acetylacetone,363.15,-24.79553009,-25.33529952,904.08,100.1163,REF,-2.66179262,0.0217018413,-1.71203725,-0.5397694299999998
acetylacetone,358.15,-25.14135041,-25.6692473,908.78,100.1163,REF,-2.77830057,0.0166721897,-1.82490349,-0.5278968899999974
acetylacetone,353.15,-25.4897924,-26.00583191,913.51,100.1163,REF,-2.89809826,0.0126990577,-1.9413547,-0.5160395100000024
acetylacetone,348.15,-25.84082069,-26.34522539,918.27,100.1163,REF,-3.02119721,0.0095918311,-2.06134666,-0.5044046999999985
acetylacetone,343.15,-26.1943995,-26.6875815,923.06,100.1163,REF,-3.14762101,0.0071850085,-2.1848556,-0.4931820000000009
acetylacetone,338.15,-26.55049287,-27.03303492,927.87,100.1163,REF,-3.27740687,0.0053378795,-2.31187913,-0.4825420499999993
acetylacetone,333.15,-26.90906493,-27.38170226,932.71,100.1163,REF,-3.41060614,0.0039329813,-2.44243594,-0.4726373300000013
acetylacetone,328.15,-27.27008015,-27.73368381,937.58,100.1163,REF,-3.54728439,0.0028738204,-2.57656501,-0.4636036600000004
acetylacetone,323.15,-27.63350359,-28.08906586,942.47,100.1163,REF,-3.68752114,0.002082253,-2.71432445,-0.4555622700000015
acetylacetone,318.15,-27.99930125,-28.44792288,947.4,100.1163,REF,-3.83140963,0.0014958051,-2.85579051,-0.44862163000000166
acetylacetone,313.15,-28.36744033,-28.8103202,952.35,100.1163,REF,-3.97905631,0.0010651166,-3.00105622,-0.44287986999999873
acetylacetone,308.15,-28.73788959,-29.17631596,957.33,100.1163,REF,-4.1305807,0.0007516153,-3.15023069,-0.4384263699999984
acetylacetone,303.15,-29.11061966,-29.54596327,962.33,100.1163,REF,-4.28611526,0.0005254721,-3.3034383,-0.4353436100000003
acetylacetone,298.15,-29.48560345,-29.9193119,967.37,100.1163,REF,-4.44580536,0.0003638504,-3.46081828,-0.433708450000001
benzene,403.15,-22.12730948,-23.71624553,775.84,78.1124,REF,-1.31650734,0.3976353042,-0.45140315,-1.5889360499999974
benzene,398.15,-22.45099291,-24.10135739,779.96,78.1124,REF,-1.36418108,0.3704335732,-0.48485801,-1.6503644800000004
benzene,393.15,-22.77754467,-24.48780327,784.12,78.1124,REF,-1.41392032,0.34304272,-0.52086462,-1.7102585999999995
