Solvent,Temperature_K,mu_self,mu_solv,Solvent_density,Solvent_MolWeight,Method,log10_x,w,log10_S,x,delta_mu
propanone,403.15,4.12814181,4.06015017,710.52,58.0795,SLE,-0.3221523,0.7843635451,0.50549113,0.47626394,-0.0679916399999998
propanone,398.15,3.9249904,3.84314429,714.36,58.0795,SLE,-0.35635443,0.7587659196,0.48856503,0.44019547,-0.08184610999999986
propanone,393.15,3.71738099,3.62064562,718.24,58.0795,SLE,-0.39090398,0.7326243898,0.47078665,0.4065332,-0.09673537000000021
propanone,388.15,3.50516833,3.39259834,722.16,58.0795,SLE,-0.42586772,0.7059596129,0.45210461,0.37508723,-0.1125699899999999
propanone,383.15,3.28820878,3.15895224,726.1,58.0795,SLE,-0.46131831,0.6787945352,0.43246105,0.34568592,-0.1292565400000001
propanone,378.15,3.06636144,2.91966598,730.09,58.0795,SLE,-0.49733589,0.6511541581,0.4117901,0.31817357,-0.1466954600000001
propanone,373.15,2.83948933,2.67471578,734.11,58.0795,SLE,-0.53401302,0.623062961,0.39001422,0.29240647,-0.16477355000000005
propanone,368.15,2.6074606,2.4240892,738.17,58.0795,SLE,-0.57145101,0.5945492024,0.3670457,0.26825572,-0.18337139999999996
propanone,363.15,2.37014979,2.16779486,742.26,58.0795,SLE,-0.60976571,0.5656423984,0.34278219,0.24560335,-0.20235493000000027
propanone,358.15,2.12743908,1.90585397,746.39,58.0795,SLE,-0.64908251,0.5363793032,0.31710932,0.22434556,-0.22158510999999992
propanone,353.15,1.87921951,1.63830871,750.56,58.0795,SLE,-0.68954147,0.5068025669,0.28989654,0.20438947,-0.24091079999999998
propanone,348.15,1.62539208,1.36523414,754.77,58.0795,SLE,-0.73130508,0.476958131,0.26099055,0.18564999,-0.2601579399999998
propanone,343.15,1.3658688,1.08671122,759.01,58.0795,SLE,-0.77454207,0.4469101989,0.23022651,0.16805751,-0.2791575800000001
propanone,338.15,1.10057361,0.80284956,763.3,58.0795,SLE,-0.81944192,0.4167339615,0.19741691,0.15155075,-0.29772405000000013
propanone,333.15,0.82944309,0.51379288,767.62,58.0795,SLE,-0.86621947,0.3865163204,0.16234711,0.13607568,-0.31565021000000004
propanone,328.15,0.55242703,0.21969568,771.99,58.0795,SLE,-0.91510096,0.3563684503,0.12478591,0.12159033,-0.33273135000000004
propanone,323.15,0.26948871,-0.07927095,776.39,58.0795,SLE,-0.96632849,0.3264245972,0.0844824,0.10806163,-0.34875966
propanone,318.15,-0.01939498,-0.38290825,780.84,58.0795,SLE,-1.02016876,0.2968381838,0.04115883,0.09546216,-0.36351327
propanone,313.15,-0.31423366,-0.69102708,785.33,58.0795,SLE,-1.07688908,0.267794404,-0.00546837,0.08377432,-0.37679342
propanone,308.15,-0.6150239,-1.00343216,789.86,58.0795,SLE,-1.1367687,0.2394991802,-0.05569658,0.07298461,-0.38840826000000006
propanone,303.15,-0.92174984,-1.31994931,794.43,58.0795,SLE,-1.20008058,0.212180512,-0.10981905,0.06308403,-0.3981994699999999
propanone,298.15,-1.23438398,-1.64044224,799.05,58.0795,SLE,-1.26707896,0.1860807082,-0.16811091,0.0540656,-0.40605826
acetylacetone,403.15,4.12814181,4.14817223,867.41,100.1163,SLE,-0.3698479,0.6333379997,0.42317413,0.42672895,0.020030420000000326
acetylacetone,398.15,3.9249904,3.95434907,871.9,100.1163,SLE,-0.41736853,0.5897236611,0.39078655,0.38250003,0.029358670000000142
acetylacetone,393.15,3.71738099,3.75882003,876.41,100.1163,SLE,-0.46767951,0.5452302017,0.35528314,0.34065949,0.04143903999999976
acetylacetone,388.15,3.50516833,3.56191029,880.96,100.1163,SLE,-0.52115644,0.5000364378,0.31625235,0.30119209,0.05674196000000009
acetylacetone,383.15,3.28820878,3.36395865,885.53,100.1163,SLE,-0.57820151,0.454402329,0.27324321,0.2641183,0.07574986999999966
acetylacetone,378.15,3.06636144,3.16530551,890.12,100.1163,SLE,-0.63923761,0.4086802475,0.22577148,0.22948928,0.09894406999999994
acetylacetone,373.15,2.83948933,2.96624163,894.75,100.1163,SLE,-0.70467905,0.3633332134,0.17334755,0.19738809,0.1267522999999997
acetylacetone,368.15,2.6074606,2.76697807,899.4,100.1163,SLE,-0.77491242,0.3189267133,0.11550015,0.16791426,0.15951746999999994
acetylacetone,363.15,2.37014979,2.56756999,904.08,100.1163,SLE,-0.85024806,0.2761165775,0.05182878,0.1411731,0.19742019999999982
acetylacetone,358.15,2.12743908,2.3678845,908.78,100.1163,SLE,-0.93089433,0.2355958274,-0.01795969,0.11724806,0.24044542000000035
acetylacetone,353.15,1.87921951,2.16755618,913.51,100.1163,SLE,-1.01692216,0.1980299443,-0.09400518,0.09617847,0.2883366700000001
acetylacetone,348.15,1.62539208,1.96598537,918.27,100.1163,SLE,-1.10825334,0.1639767329,-0.17627164,0.07793753,0.34059329000000016
acetylacetone,343.15,1.3658688,1.76240637,923.06,100.1163,SLE,-1.20469241,0.133810088,-0.26457017,0.06241768,0.39653757
acetylacetone,338.15,1.10057361,1.55593788,927.87,100.1163,SLE,-1.30594992,0.1076871242,-0.35858219,0.04943677,0.45536427
acetylacetone,333.15,0.82944309,1.34570944,932.71,100.1163,SLE,-1.4117178,0.085543475,-0.45793812,0.03875094,0.51626635
acetylacetone,328.15,0.55242703,1.1309189,937.58,100.1163,SLE,-1.52170576,0.0671358931,-0.56226401,0.03008114,0.5784918699999999
acetylacetone,323.15,0.26948871,0.91088457,942.47,100.1163,SLE,-1.63567765,0.0520990227,-0.6712283,0.02313782,0.64139586
acetylacetone,318.15,-0.01939498,0.68509122,947.4,100.1163,SLE,-1.75348716,0.0400027606,-0.7845867,0.01764058,0.7044862
acetylacetone,313.15,-0.31423366,0.45314749,952.35,100.1163,SLE,-1.87505531,0.030404812,-0.90216723,0.01333352,0.7673811500000001
acetylacetone,308.15,-0.6150239,0.21480367,957.33,100.1163,SLE,-2.00038866,0.0228821445,-1.02389215,0.00999105,0.82982757
acetylacetone,303.15,-0.92174984,-0.03009709,962.33,100.1163,SLE,-2.12955161,0.0170526167,-1.14975245,0.00742076,0.89165275
acetylacetone,298.15,-1.23438398,-0.28163887,967.37,100.1163,SLE,-2.26265693,0.0125834463,-1.27979865,0.00546189,0.9527451100000001
benzene,403.15,4.12814181,4.30555469,775.84,78.1124,SLE,-0.4551271,0.6162759877,0.38847755,0.35064923,0.17741288000000033
benzene,398.15,3.9249904,4.19386904,779.96,78.1124,SLE,-0.5487846,0.5395411739,0.32287612,0.28262814,0.26887864000000006
benzene,393.15,3.71738099,4.14182189,784.12,78.1124,SLE,-0.68049149,0.439581194,0.22336416,0.2086933,0.4244409
benzene,388.15,3.50516833,4.22487734,788.3,78.1124,SLE,-0.89427412,0.3030704461,0.04730327,0.12756334,0.7197090099999999
benzene,383.15,3.28820878,4.43305163,792.52,78.1124,SLE,-1.18773857,0.1711063331,-0.21433666,0.0649025,1.1448428499999994
benzene,378.15,3.06636144,4.55034529,796.78,78.1124,SLE,-1.43935114,0.1009030393,-0.44948305,0.03636209,1.48398385
benzene,373.15,2.83948933,4.57694081,801.06,78.1124,SLE,-1.64761993,0.0641002758,-0.64838498,0.02251024,1.7374514799999998
benzene,368.15,2.6074606,4.55191588,805.38,78.1124,SLE,-1.83404849,0.0423573601,-0.82843275,0.01465384,1.9444552800000001
benzene,363.15,2.37014979,4.49492025,809.74,78.1124,SLE,-2.00963411,0.0285379664,-0.99914659,0.00978061,2.1247704599999997
benzene,358.15,2.12743908,4.41618819,814.13,78.1124,SLE,-2.18024071,0.0193864017,-1.16574649,0.00660327,2.28874911
benzene,353.15,1.87921951,4.32166857,818.55,78.1124,SLE,-2.34940805,0.0131867141,-1.33144318,0.00447293,2.44244906
benzene,348.15,1.62539208,4.21513028,823.01,78.1124,SLE,-2.51950515,0.0089386749,-1.4984181,0.00302339,2.5897382
benzene,343.15,1.3658688,4.09914494,827.51,78.1124,SLE,-2.6922699,0.0060166526,-1.66829377,0.00203109,2.73327614
benzene,338.15,1.10057361,3.97555882,832.04,78.1124,SLE,-2.86906667,0.0040099464,-1.84235968,0.00135187,2.8749852099999997
benzene,333.15,0.82944309,3.8457448,836.61,78.1124,SLE,-3.05102296,0.0026398431,-2.02169297,0.00088915,3.0163017099999996
benzene,328.15,0.55242703,3.71076829,841.21,78.1124,SLE,-3.23912141,0.0017129601,-2.20724151,0.00057661,3.15834126
benzene,323.15,0.26948871,3.57146348,845.86,78.1124,SLE,-3.43423983,0.0010934718,-2.39985879,0.00036793,3.3019747699999997
benzene,318.15,-0.01939498,3.42849972,850.54,78.1124,SLE,-3.63718841,0.0006854514,-2.60033783,0.00023057,3.4478947
benzene,313.15,-0.31423366,3.28241607,855.26,78.1124,SLE,-3.84872846,0.0004212237,-2.80942786,0.00014167,3.59664973
benzene,308.15,-0.6150239,3.13365073,860.01,78.1124,SLE,-4.06958947,0.0002533379,-3.02784987,8.519e-05,3.74867463
benzene,303.15,-0.92174984,2.98255476,864.81,78.1124,SLE,-4.30047674,0.0001488823,-3.25630324,5.006e-05,3.9043046
benzene,298.15,-1.23438398,2.82941049,869.64,78.1124,SLE,-4.54208326,8.53601e-05,-3.49547694,2.87e-05,4.0637944699999995
chcl3,403.15,4.12814181,4.1669886,1335.87,119.3783,SLE,-0.38004373,0.5817588169,0.45918166,0.41682741,0.03884679000000002
chcl3,398.15,3.9249904,3.9746165,1342.82,119.3783,SLE,-0.42848855,0.5363646148,0.43083856,0.37283051,0.04962610000000023
chcl3,393.15,3.71738099,3.77915425,1349.82,119.3783,SLE,-0.47897805,0.4915645809,0.39989641,0.33191123,0.06177325999999983
chcl3,388.15,3.50516833,3.58027282,1356.85,119.3783,SLE,-0.53149087,0.4477664932,0.36625831,0.29410955,0.07510448999999975
chcl3,383.15,3.28820878,3.37756894,1363.93,119.3783,SLE,-0.58596133,0.4053873444,0.32987403,0.25944104,0.08936016000000002
chcl3,378.15,3.06636144,3.17060029,1371.05,119.3783,SLE,-0.64229631,0.3648164451,0.29073519,0.22787868,0.10423884999999977
chcl3,373.15,2.83948933,2.95893811,1378.21,119.3783,SLE,-0.7004034,0.3263787107,0.24885814,0.19934099,0.11944877999999992
chcl3,368.15,2.6074606,2.74219729,1385.41,119.3783,SLE,-0.76020815,0.2903176512,0.20427026,0.17369681,0.13473669
chcl3,363.15,2.37014979,2.52009714,1392.65,119.3783,SLE,-0.82169105,0.2567781396,0.15697685,0.15076792,0.1499473499999997
chcl3,358.15,2.12743908,2.292472,1399.93,119.3783,SLE,-0.88489708,0.2258174884,0.10694591,0.13034756,0.16503292000000025
chcl3,353.15,1.87921951,2.05929094,1407.26,119.3783,SLE,-0.9499517,0.1974179462,0.05408681,0.11221433,0.18007142999999992
chcl3,348.15,1.62539208,1.82067126,1414.63,119.3783,SLE,-1.01707434,0.1715039876,-0.00176962,0.09614477,0.19527918
chcl3,343.15,1.3658688,1.57684336,1422.04,119.3783,SLE,-1.08656223,0.1479699245,-0.06086433,0.08192902,0.21097455999999992
chcl3,338.15,1.10057361,1.32814567,1429.49,119.3783,SLE,-1.15879224,0.1266942062,-0.12351637,0.06937576,0.22757205999999996
chcl3,333.15,0.82944309,1.0749849,1436.98,119.3783,SLE,-1.23420026,0.1075556989,-0.19010732,0.05831761,0.24554180999999997
chcl3,328.15,0.55242703,0.81778585,1444.52,119.3783,SLE,-1.31325188,0.0904435033,-0.26105472,0.04861252,0.26535882
chcl3,323.15,0.26948871,0.55693772,1452.1,119.3783,SLE,-1.39640813,0.0752595225,-0.33677817,0.04014134,0.28744900999999995
chcl3,318.15,-0.01939498,0.29275219,1459.72,119.3783,SLE,-1.48409618,0.0619139142,-0.41766804,0.03280226,0.31214717000000003
chcl3,313.15,-0.31423366,0.02533414,1467.39,119.3783,SLE,-1.57661643,0.0503249552,-0.50399223,0.0265084,0.33956780000000003
chcl3,308.15,-0.6150239,-0.2454216,1475.09,119.3783,SLE,-1.67413022,0.0404028225,-0.59587801,0.02117726,0.36960229999999994
chcl3,303.15,-0.92174984,-0.51986455,1482.84,119.3783,SLE,-1.77662384,0.0320416606,-0.69327328,0.01672539,0.40188529000000006
chcl3,298.15,-1.23438398,-0.7985644,1490.63,119.3783,SLE,-1.88391217,0.0251136592,-0.79594797,0.01306435,0.4358195800000001
cyclohexane,403.15,4.12814181,7.38509789,682.56,84.16,SLE,-2.12380729,0.0204860363,-1.21738966,0.00751956,3.25695608
cyclohexane,398.15,3.9249904,7.32247119,686.3,84.16,SLE,-2.26533711,0.0148425655,-1.35582404,0.00542829,3.39748079
cyclohexane,393.15,3.71738099,7.2468158,690.07,84.16,SLE,-2.40575702,0.0107702613,-1.49334222,0.00392865,3.52943481
cyclohexane,388.15,3.50516833,7.16129908,693.88,84.16,SLE,-2.54689149,0.0077968684,-1.63170639,0.00283863,3.65613075
cyclohexane,383.15,3.28820878,7.06805808,697.73,84.16,SLE,-2.69007199,0.0056149594,-1.77220788,0.0020414,3.7798493
cyclohexane,378.15,3.06636144,6.96860742,701.61,84.16,SLE,-2.83633935,0.0040135083,-1.91586019,0.00145767,3.9022459799999996
cyclohexane,373.15,2.83948933,6.86406812,705.53,84.16,SLE,-2.98655762,0.0028420457,-2.06350795,0.00103144,4.02457879
cyclohexane,368.15,2.6074606,6.75531286,709.5,84.16,SLE,-3.14148744,0.0019903868,-2.21589766,0.00072196,4.1478522600000005
cyclohexane,363.15,2.37014979,6.64302583,713.5,84.16,SLE,-3.30181421,0.0013765149,-2.37370419,0.0004991,4.27287604
cyclohexane,358.15,2.12743908,6.52775837,717.54,84.16,SLE,-3.46817598,0.0009387296,-2.53755767,0.00034027,4.4003192900000005
cyclohexane,353.15,1.87921951,6.40996313,721.62,84.16,SLE,-3.64118051,0.0006304075,-2.70805984,0.00022846,4.530743620000001
cyclohexane,348.15,1.62539208,6.29001206,725.74,84.16,SLE,-3.82141355,0.0004163395,-2.8857919,0.00015086,4.664619979999999
cyclohexane,343.15,1.3658688,6.16821534,729.9,84.16,SLE,-4.00944871,0.0002700555,-3.07132399,9.785e-05,4.802346539999999
cyclohexane,338.15,1.10057361,6.04482979,734.11,84.16,SLE,-4.20585131,0.0001718216,-3.26521883,6.225e-05,4.94425618
cyclohexane,333.15,0.82944309,5.92006963,738.36,84.16,SLE,-4.41118429,0.0001070934,-3.46803741,3.88e-05,5.090626540000001
cyclohexane,328.15,0.55242703,5.79411198,742.65,84.16,SLE,-4.62601132,6.53051e-05,-3.68034194,2.366e-05,5.24168495
cyclohexane,323.15,0.26948871,5.66710268,746.99,84.16,SLE,-4.85090046,3.89104e-05,-3.90269943,1.41e-05,5.39761397
